aconteceu;adaptação;agora;ano;ante;apenas;após;aterrorizante;bob;busca;casal;casamento;cidade;começo;competição;contando;contra;cura;danny;decidir;deparam;derrotar;descobre;descobrem;descobrir;destruir;dia;diversão;doi;encontrar;enfrentando;enquanto;entra;estados;eventos;existência;família;faz;fica;filha;filho;filme;fim;foca;forças;grupo;grãbretanha;gêmeos;herói;história;homem;humana;idealista;ilha;improvável;infectados;investigação;irmãos;jornada;jovem;justiça;lugar;maiores;meio;michael;missão;morte;muda;mudar;mundo;mãe;nova;pai;pais;passado;país;pode;polícia;porém;precisa;primeiro;relacionamento;relação;retorna;revela;rico;rumo;salvar;segredos;serem;simple;sobre;sobreviventes;sociedade;tarde;tempo;tenta;tentam;terror;toda;todos;traz;treinar;trás;tudo;unidos;união;vai;verdade;vez;vida;vidas;vive;vivendo;vírus;york
0.0;0.0;0.0;0.17271516248997054;0.0;0.0;0.15965424691868776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2589638070492792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20930902698398346;0.2589638070492792;0.0;0.0;0.0;0.0;0.0;0.0;0.5179276140985584;0.0;0.5179276140985584;0.0;0.0;0.0;0.1982661802143336;0.0;0.0;0.0;0.0;0.0;0.23835521130373785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2589638070492792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2589638070492792;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.22154504013656665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30857279902903695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3593524640523368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3593524640523368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3593524640523368;0.0;0.0;0.0;0.0;0.33075483975030645;0.3593524640523368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4793381741423037;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.2957192682714446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34438371773364834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31697732105996645;0.0;0.0;0.0;0.0;0.34438371773364834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34438371773364834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34438371773364834;0.0;0.34438371773364834;0.0;0.0;0.31697732105996645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34438371773364834;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2486759177730847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2486759177730847;0.0;0.0;0.0;0.0;0.45777208485103277;0.0;0.2486759177730847;0.0;0.0;0.4019875593930285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22888604242551638;0.0;0.0;0.0;0.0;0.0;0.2135358225543699;0.2486759177730847;0.0;0.0;0.0;0.0;0.0;0.2135358225543699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2486759177730847;0.0;0.0;0.0;0.0;0.0;0.2486759177730847;0.0;0.0;0.22888604242551638;0.0;0.0;0.0;0.0;0.0;0.0;0.2486759177730847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4713810167771363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4713810167771363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3809964916895433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4338680495112758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4713810167771363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2907538998919215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3158929751046573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.439781653806086;0.581507799783843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3158929751046573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2907538998919215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3158929751046573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25700945439074485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23655638796160833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25700945439074485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23655638796160833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25700945439074485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25700945439074485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7710283631722346;0.0;0.0;0.17141171263407146;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.28566957817118793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31036905430652256;0.0;0.0;0.0;0.0;0.0;0.5330223521462232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31036905430652256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31036905430652256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2665111760731116;0.28566957817118793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31036905430652256;0.31036905430652256;0.0;0.0
0.0;0.3409825719419082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2927987343059109;0.0;0.2927987343059109;0.2927987343059109;0.0;0.0;0.0;0.0;0.6276936836245955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3409825719419082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3409825719419082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49673811013449665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41319158546842794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5396869294498874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5396869294498874;0.0;0.0;0.0;0.0;0.0;0.0;0.0
