title,year,streamings,synopsis_introduction,synopsis_content,just_watch_rating,rotten_tomatoes_rating,imdb_ratings,genres,movie_duration,age_classification
O Macaco(2025),(2025),"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Cinemark', 'Centerplex Cinemas', 'Amazon Video', 'Amazon Video', 'Claro video', 'Amazon Prime Video with Ads']",,"Explorando o sótão do pai deles, os irmãos Gêmeos, Bill e Hal acabam encontrando um macaco que parece um brinquedo. Porém, quando mortes bizarras começam a acontecer, eles decidem jogar fora o macaco, tomando rumos diferentes com o passar dos anos, mas se reencontrando em uma série de eventos terríveis.",75%(2.8k),77%,5.9  (76k),"['Comédia', 'Terror', 'Comédia de Terror']",1h 37min,18
O Amador(2025),(2025),"['Disney Plus', 'Disney Plus', 'Amazon Prime Video']",,"Charles Heller (Rami Malek) chantageia a própria agência para se infiltrar no submundo do terrorismo, descobrindo que aliados e inimigos são igualmente traiçoeiros. Cada passo em sua jornada de sangue e dor revela que o sistema que jurou proteger está tão corrompido quanto os criminosos que persegue.",89%(4.6k),62%,6.5  (77k),"['Ação & Aventura', 'Mistério & Thriller', 'Thriller de Ação']",2h 2min,14
A Vida de Chuck(2025),(2025),"['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video']",,"Contando a história de Charles Krantz (Tom Hiddleston), essa adaptação foca nos eventos que moldaram sua vida. Começando com sua morte aos 39 anos, a vida de Charles foi marcada por mistérios e transformações que permearam sua existência.",85%(551),80%,7.4  (30k),"['Fantasia', 'Drama', 'Ficção Científica', 'Drama de Ficção Científica']",1h 51min,12
Extermínio 2(2007),(2007),"['Disney Plus', 'HBO Max Amazon Channel', 'Disney Plus', 'Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Claro tv+', 'HBO Max Amazon Channel', 'HBO Max']",,"Os Estados Unidos começam a reconstruir o país após vencerem a guerra contra o vírus que aniquilou a Grã-Bretanha há 6 meses. Porém, a primeira leva de refugiados traz uma variação ainda mais mortal do vírus.",91%(14k),73%,6.9  (342k),"['Terror', 'Ficção Científica', 'Mistério & Thriller', 'Ficção Científica de Zumbi']",1h 39min,16
Corra que a Polícia Vem Aí!(2025),(2025),"['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video', 'Paramount Plus']",,"Liam Neeson é o protagonista Frank Drebin Jr. nessa nova adaptação deCorra que a Polícia Vem Aí.Comandando o esquadrão da polícia, ele tenta seguir os passos de seu pai e salvar o mundo em uma aventura hilária.",85%(826),88%,6.6  (55k),"['Ação & Aventura', 'Comédia', 'Crime', 'Ação e Comédia']",1h 25min,14
Karate Kid: Os Campeões(2025),(2025),"['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Claro tv+', 'Amazon Prime Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']",,"Li Fung é um prodígio de Kung Fu em Beijing, mas tudo muda quando se muda para Nova York com sua mãe. Entrando em uma competição de Karate, o professor de Li, Sr. Han, pede ajuda a Daniel LaRusso, trazendo as duas gerações de Karatê Kid em um filme.",85%(902),58%,6.3  (31k),"['Esporte & Fitness', 'Ação & Aventura', 'Drama', 'Família']",1h 34min,12
Como Treinares o Teu Dragão(2025),(2025),"['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video']",,"Contando o começo da história de Soluço, o filme live-action de Como Treinar o Seu Dragão foca no jovem viking que não se encaixa em sua sociedade brutal. Quando Soluço faz amizade com Banguela, um jovem dragão, ele precisa decidir quem quer ser em uma sociedade que caça dragões.",95%(2.2k),76%,7.8  (93k),"['Fantasia', 'Ação & Aventura', 'Comédia', 'Drama', 'Família']",2h 5min,10
O Quarteto Fantástico: Primeiros Passos(2025),(2025),"['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video', 'Kinoplex', 'Cineflix']",,"Sr. Fantástico, Mulher Invisível, Tocha Humana e a Coisa, enfrentam o poderoso Galactus em uma Nova York retrofuturista. Nos anos 60 em uma linha do tempo alternativa, o quarteto fantástico entra para o Universo Cinematográfico da Marvel.",93%(2.4k),87%,7.3  (132k),"['Ficção Científica', 'Ação & Aventura', 'Documentário', 'Super-Herói']",1h 55min,12
Número Desconhecido: Catfish no Liceu(2025),(2025),"['Netflix', 'Netflix Standard with Ads', 'Amazon Prime Video']",,Mensagens sórdidas e ofensivas inundam os telemóveis de um jovem casal de namorados. Quem as envia e porquê? Este documentário surpreendente revela a verdade chocante.,85%(753),80%,6.8  (11k),"['Documentário', 'Crime']",1h 34min,16
O Último Destino: Descendência(2025),(2025),"['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']",,"Stefani é uma jovem universitária que tem sonhos macabros com a morte de toda a sua família. No sexto filme de Premonição, a jovem pede ajuda a sua avó para quebrar o ciclo fatal, mas não é nada fácil escapar da Morte.",91%(4.4k),92%,6.8  (127k),"['Terror', 'Mistério & Thriller', 'Thriller de Mistério']",1h 50min,18
